6, 12, pa1-debug-d-empivot.txt
  171.89,   179.57,   165.25
  158.76,   178.04,   117.03
  145.63,   176.51,    68.81
  204.09,   201.33,   155.79
  190.96,   199.80,   107.57
  177.83,   198.27,    59.35
  165.00,   208.33,   245.18
  130.53,   237.63,   266.47
   96.06,   266.93,   287.76
  168.29,   234.22,   214.88
  133.82,   263.52,   236.16
   99.35,   292.82,   257.45
  159.57,   175.55,   238.81
  122.53,   178.32,   272.28
   85.48,   181.08,   305.75
  168.57,   213.93,   245.60
  131.53,   216.70,   279.07
   94.48,   219.46,   312.54
  172.92,   236.60,   219.39
  158.91,   277.96,   243.75
  144.90,   319.32,   268.11
  201.30,   230.06,   246.81
  187.29,   271.42,   271.17
  173.28,   312.78,   295.53
  186.76,   239.10,   230.48
  178.67,   288.36,   233.35
  170.58,   337.62,   236.22
  199.30,   243.36,   192.74
  191.21,   292.62,   195.61
  183.13,   341.88,   198.47
  246.68,   220.27,   203.92
  295.08,   229.19,   195.06
  343.47,   238.10,   186.20
  252.35,   181.51,   195.85
  300.74,   190.42,   186.99
  349.13,   199.33,   178.13
  155.43,   187.89,   236.95
  107.05,   193.86,   248.09
   58.67,   199.82,   259.22
  150.05,   208.00,   202.80
  101.67,   213.97,   213.93
   53.29,   219.93,   225.07
  170.23,   166.99,   245.10
  150.77,   156.11,   289.85
  131.30,   145.22,   334.60
  193.08,   195.19,   261.89
  173.62,   184.31,   306.65
  154.16,   173.43,   351.40
  152.34,   203.62,   228.37
  104.18,   217.05,   228.09
   56.02,   230.49,   227.81
  153.58,   207.21,   188.55
  105.42,   220.65,   188.27
   57.26,   234.08,   187.99
  218.78,   201.36,   158.74
  240.38,   226.04,   121.00
  261.98,   250.72,    83.26
  226.67,   231.96,   183.27
  248.27,   256.64,   145.53
  269.87,   281.32,   107.79
  153.66,   174.80,   189.97
  116.75,   167.14,   157.11
   79.85,   159.47,   124.26
  174.78,   193.81,   161.81
  137.87,   186.14,   128.95
  100.97,   178.47,    96.10
  250.74,   212.84,   210.34
  293.81,   228.70,   230.17
  336.89,   244.56,   249.99
  237.65,   202.83,   246.79
  280.72,   218.69,   266.61
  323.80,   234.55,   286.44
