6, 12, pa1-debug-b-empivot.txt
  208.82,   250.34,   168.83
  229.99,   273.06,   129.65
  251.16,   295.79,    90.47
  221.67,   214.98,   155.27
  242.84,   237.70,   116.09
  264.02,   260.42,    76.90
  190.56,   252.78,   168.80
  199.70,   281.89,   129.19
  208.84,   311.01,    89.58
  215.86,   225.32,   154.45
  225.00,   254.43,   114.85
  234.14,   283.55,    75.24
  186.59,   204.25,   148.21
  185.41,   216.96,    99.87
  184.22,   229.67,    51.53
  199.18,   241.04,   157.58
  198.00,   253.76,   109.24
  196.82,   266.47,    60.89
  227.28,   234.34,   166.58
  261.74,   238.83,   130.62
  296.19,   243.32,    94.67
  229.77,   194.51,   163.99
  264.22,   198.99,   128.03
  298.68,   203.48,    92.08
  224.09,   240.62,   168.72
  264.83,   263.82,   151.34
  305.58,   287.01,   133.96
  245.53,   225.64,   198.99
  286.27,   248.84,   181.61
  327.02,   272.03,   164.23
  174.08,   219.93,   152.24
  172.96,   223.35,   102.37
  171.84,   226.77,    52.50
  211.82,   206.78,   150.49
  210.70,   210.19,   100.62
  209.58,   213.61,    50.75
  225.21,   253.36,   207.93
  266.93,   279.83,   215.60
  308.65,   306.31,   223.26
  246.36,   219.46,   209.88
  288.08,   245.94,   217.54
  329.80,   272.41,   225.21
  172.92,   190.77,   246.90
  151.02,   191.58,   291.84
  129.11,   192.39,   336.78
  171.42,   230.72,   245.45
  149.52,   231.53,   290.39
  127.62,   232.34,   335.33
  172.30,   233.66,   158.07
  167.25,   247.44,   110.27
  162.21,   261.22,    62.48
  205.75,   213.78,   148.81
  200.71,   227.56,   101.01
  195.66,   241.35,    53.21
  232.23,   242.29,   221.17
  266.49,   259.32,   253.36
  300.75,   276.35,   285.55
  224.43,   211.65,   245.68
  258.69,   228.69,   277.87
  292.95,   245.72,   310.06
  227.94,   251.73,   198.80
  271.51,   276.06,   195.69
  315.08,   300.38,   192.59
  247.35,   216.79,   197.47
  290.93,   241.11,   194.37
  334.50,   265.44,   191.27
  144.53,   197.71,   218.46
   98.07,   205.24,   235.32
   51.60,   212.77,   252.17
  150.67,   237.23,   217.72
  104.21,   244.76,   234.58
   57.74,   252.29,   251.44
